Player,Tm,salary_22_23,salary_23_24,Guaranteed,-9999
Gary Trent Jr.,TOR,"$17,505,000","$18,785,000","$17,505,000",trentga02
Jonathan Isaac,ORL,"$17,400,000","$17,400,000","$24,800,000",isaacjo01
OG Anunoby,TOR,"$17,357,143","$18,642,857","$36,000,000",anunoog01
Marcus Smart,BOS,"$17,207,142","$18,583,713","$77,087,994",smartma01
Mitchell Robinson,NYK,"$17,045,454","$15,681,818","$60,000,000",robinmi01
Duncan Robinson,MIA,"$16,902,000","$18,154,000","$64,350,000",robindu01
Derrick White,BOS,"$16,892,857","$18,107,143","$54,321,429",whitede01
Norman Powell,LAC,"$16,758,621","$18,000,000","$74,482,758",powelno01
Dejounte Murray,ATL,"$16,571,120","$17,714,000","$34,285,120",murrade01
Collin Sexton,UTA,"$16,500,000","$17,325,000","$70,950,000",sextoco01
Markelle Fultz,ORL,"$16,500,000","$17,000,000","$18,500,000",fultzma01
Lauri Markkanen,UTA,"$16,475,454","$17,259,999","$39,735,453",markkla01
Marcus Morris,LAC,"$16,372,093","$17,116,279","$33,488,372",morrima03
Dāvis Bertāns,DAL,"$16,000,000","$17,000,000","$44,000,000",bertada01
Jusuf Nurkić,POR,"$15,625,000","$16,875,000","$70,000,000",nurkiju01
Malik Beasley,LAL,"$15,558,035","$16,524,106","$15,558,035",beaslma01
Luguentz Dort,OKC,"$15,277,778","$15,277,778","$64,777,778",dortlu01
Tyus Jones,MEM,"$15,000,000","$14,000,000","$29,000,000",jonesty01
Jonas Valančiūnas,NOP,"$14,700,000","$15,435,000","$30,135,000",valanjo01
Derrick Rose,NYK,"$14,520,730","$15,596,339","$14,520,730",rosede01
Kevin Huerter,SAC,"$14,508,929","$15,669,643","$65,000,000",huertke01
Luke Kennard,MEM,"$14,415,545","$15,418,363","$29,833,908",kennalu01
Will Barton,WAS,"$14,807,642",,"$14,375,000",bartowi01
Christian Wood,DAL,"$14,317,459",,"$14,317,459",woodch01
Wendell Carter Jr.,ORL,"$14,150,000","$13,050,000","$50,000,000",cartewe01
Kentavious Caldwell-Pope,DEN,"$14,004,703","$14,704,938","$28,709,641",caldwke01
Brook Lopez,MIL,"$13,906,976",,"$13,906,976",lopezbr01
Doug McDermott,SAS,"$13,750,000","$13,750,000","$27,500,000",mcderdo01
Zion Williamson,NOP,"$13,534,817","$33,500,000","$207,834,817",willizi01
Jordan Clarkson,UTA,"$13,340,000","$14,260,000","$13,340,000",clarkjo01
Kyle Kuzma,WAS,"$13,000,000","$13,000,000","$13,000,000",kuzmaky01
Danilo Gallinari,SAS,"$19,479,000","$6,802,950","$13,000,000",gallida01
Patrick Beverley,ORL,"$13,506,508",,"$13,000,000",beverpa01
Gary Harris,ORL,"$13,000,000","$13,000,000","$13,000,000",harriga01
Josh Hart,NYK,"$12,960,000","$12,960,000","$12,960,000",hartjo01
Dorian Finney-Smith,BRK,"$12,939,848","$13,932,008","$41,796,023",finnedo01
Kelly Olynyk,UTA,"$12,804,878","$12,195,122","$15,804,878",olynyke01
Chris Boucher,TOR,"$12,690,000","$11,750,000","$35,250,000",bouchch01
Kelly Oubre Jr.,CHO,"$12,600,000",,"$12,600,000",oubreke01
Marvin Bagley III,DET,"$12,500,000","$12,500,000","$37,500,000",baglema01
Robert Covington,LAC,"$12,307,692","$11,692,308","$24,000,000",covinro01
Josh Richardson,NOP,"$12,196,094",,"$12,196,094",richajo01
Ja Morant,MEM,"$12,119,440","$33,500,000","$206,419,440",moranja01
Devonte' Graham,SAS,"$11,550,000","$12,100,000","$26,500,000",grahade01
Terrence Ross,ORL,"$12,080,373",,"$11,500,000",rosste01
Dillon Brooks,MEM,"$11,400,000",,"$11,400,000",brookdi01
Richaun Holmes,SAC,"$11,215,260","$12,046,020","$23,261,280",holmeri01
Reggie Jackson,CHO,"$11,795,633",,"$11,215,260",jacksre01
Dwight Powell,DAL,"$11,080,125",,"$11,080,125",poweldw01
Paolo Banchero,ORL,"$11,055,120","$11,608,080","$22,663,200",banchpa01
Robert Williams,BOS,"$10,937,502","$11,812,501","$49,000,002",williro04
RJ Barrett,NYK,"$10,900,635","$23,883,929","$117,900,635",barrerj01
Bobby Portis,MIL,"$10,843,350","$11,710,818","$35,132,454",portibo01
Nicolas Batum,LAC,"$19,700,319","$11,710,818","$22,554,168",batumni01
Anthony Edwards,MIN,"$10,733,400","$13,534,817","$24,268,217",edwaran01
Cade Cunningham,DET,"$10,552,800","$11,055,360","$21,608,160",cunnica01
P.J. Tucker,PHI,"$10,490,000","$11,014,500","$21,504,500",tuckepj01
Mo Bamba,LAL,"$10,300,000","$10,300,000","$10,300,000",bambamo01
