Player,Tm,salary_23_24,salary_24_25,Guaranteed,other_player_name
Buddy Hield,IND,"$19,279,841",,"$19,279,841",hieldbu01
Evan Fournier,NYK,"$18,857,143","$19,000,000","$37,857,143",fournev01
Marcus Smart,MEM,"$18,833,713","$20,210,284","$60,630,852",smartma01
Bogdan Bogdanović,ATL,"$18,700,000","$17,260,000","$51,980,000",bogdabo01
OG Anunoby,TOR,"$18,642,857","$19,928,571","$18,642,857",anunoog01
Gary Trent Jr.,TOR,"$18,560,000",,"$18,560,000",trentga02
Nikola Vučević,CHI,"$18,518,519","$20,000,000","$60,000,000",vucevni01
Derrick White,BOS,"$18,357,143","$19,571,429","$37,928,572",whitede01
Dejounte Murray,ATL,"$18,214,000","$25,499,599","$100,832,704",murrade01
Duncan Robinson,MIA,"$18,154,000","$19,406,000","$47,448,000",robindu01
Norman Powell,LAC,"$18,000,000","$19,241,379","$57,724,137",powelno01
Tim Hardaway Jr.,DAL,"$17,897,728","$16,193,183","$34,090,911",hardati02
Jonathan Isaac,ORL,"$17,400,000","$17,400,000","$7,400,000",isaacjo01
Collin Sexton,UTA,"$17,325,000","$18,150,000","$54,450,000",sextoco01
D'Angelo Russell,LAL,"$17,307,693","$18,692,307","$36,000,000",russeda01
Lauri Markkanen,UTA,"$17,259,999","$18,044,544","$23,259,999",markkla01
Marcus Morris,LAC,"$17,116,279",,"$17,116,279",morrima03
Harrison Barnes,SAC,"$17,000,000","$18,000,000","$54,000,000",barneha02
Dāvis Bertāns,OKC,"$17,000,000","$16,000,000","$28,000,000",bertada01
Markelle Fultz,ORL,"$17,000,000",,"$2,000,000",fultzma01
Jusuf Nurkić,POR,"$16,875,000","$18,125,000","$54,375,000",nurkiju01
Kevin Porter Jr.,HOU,"$15,860,000","$15,860,000","$15,860,000",porteke02
Rui Hachimura,LAL,"$15,740,741","$17,000,000","$51,000,000",hachiru01
Mitchell Robinson,NYK,"$15,681,818","$14,318,182","$42,954,546",robinmi01
Kevin Huerter,SAC,"$15,669,643","$16,830,357","$50,491,071",huertke01
Jonas Valančiūnas,NOP,"$15,435,000",,"$15,435,000",valanjo01
Caris LeVert,CLE,"$15,384,616","$16,615,384","$32,000,000",leverca01
Luguentz Dort,OKC,"$15,277,778","$16,500,000","$49,500,000",dortlu01
Luke Kennard,MEM,"$14,763,636","$14,763,636","$14,763,636",kennalu01
Kentavious Caldwell-Pope,DEN,"$14,704,938","$15,440,185","$14,704,938",caldwke01
Max Strus,CLE,"$14,487,684","$15,212,068","$62,297,040",strusma01
Tyus Jones,WAS,"$14,000,000",,"$14,000,000",jonesty01
Dorian Finney-Smith,BRK,"$13,932,008","$14,924,167","$28,856,175",finnedo01
Doug McDermott,SAS,"$13,750,000",,"$13,750,000",mcderdo01
Anthony Edwards,MIN,"$13,534,817","$35,500,000","$219,434,817",edwaran01
Wendell Carter Jr.,ORL,"$13,050,000","$11,950,000","$35,850,000",cartewe01
Gary Harris,ORL,"$13,000,000",,,harriga01
Josh Hart,NYK,"$12,960,000",,"$12,960,000",hartjo01
Naz Reid,MIN,"$12,950,400","$13,986,432","$26,936,832",reidna01
Steven Adams,MEM,"$12,600,000","$12,600,000","$25,200,000",adamsst01
Brandon Clarke,MEM,"$12,500,000","$12,500,000","$50,000,000",clarkbr01
Marvin Bagley III,DET,"$12,500,000","$12,500,000","$25,000,000",baglema01
Grant Williams,DAL,"$12,405,000","$13,025,250","$53,341,500",willigr01
Dennis Schröder,TOR,"$12,405,000","$13,025,250","$25,430,250",schrode01
Daniel Gafford,WAS,"$12,402,000","$13,394,160","$40,182,480",gaffoda01
Kelly Olynyk,UTA,"$12,195,122",,"$3,000,000",olynyke01
Victor Wembanyama,SAS,"$12,160,680","$12,768,960","$24,929,640",wembavi01
James Wiseman,DET,"$12,119,440",,,wisemja01
Devonte' Graham,SAS,"$12,100,000","$12,650,000","$14,950,000",grahade01
Richaun Holmes,DAL,"$12,046,020","$12,876,780","$12,046,020",holmeri01
Herbert Jones,NOP,"$12,015,150","$12,976,362","$53,827,872",joneshe01
Austin Reaves,LAL,"$12,015,150","$12,976,362","$38,929,086",reaveau01
Chris Boucher,TOR,"$11,750,000","$10,810,000","$22,560,000",bouchch01
Bobby Portis,MIL,"$11,710,818","$12,578,286","$24,289,104",portibo01
Nicolas Batum,LAC,"$11,710,818",,"$11,710,818",batumni01
Robert Covington,LAC,"$11,692,308",,"$11,692,308",covinro01
Paolo Banchero,ORL,"$11,608,080","$12,160,800","$11,608,080",banchpa01
Robert Williams,BOS,"$11,571,429","$12,428,571","$37,285,713",williro04
Coby White,CHI,"$11,111,111","$12,000,000","$36,000,000",whiteco01
Cade Cunningham,DET,"$11,055,360","$13,940,809","$11,055,360",cunnica01
Talen Horton-Tucker,UTA,"$11,020,000",,"$11,020,000",hortota01
P.J. Tucker,PHI,"$11,014,500","$11,539,000","$11,014,500",tuckepj01
Reggie Bullock,SAS,"$11,014,080",,"$11,014,080",bullore01
Maxi Kleber,DAL,"$11,000,000","$11,000,000","$33,000,000",klebima01
Joe Ingles,ORL,"$11,000,000","$11,000,000","$11,000,000",inglejo01
Ivica Zubac,LAC,"$10,933,333","$11,743,210","$22,676,543",zubaciv01
LaMelo Ball,CHO,"$10,900,635","$35,500,000","$216,800,635",ballla01
Donte DiVincenzo,NYK,"$10,900,000","$11,445,000","$46,870,000",divindo01
Brandon Miller,CHO,"$10,880,400","$11,424,600","$22,305,000",millebr02
Terance Mann,LAC,"$10,576,923","$11,423,077","$22,000,000",mannte01
Gabe Vincent,LAL,"$10,500,000","$11,000,000","$33,000,000",vincega01
Matisse Thybulle,POR,"$10,500,000","$11,025,000","$21,525,000",thybuma01
Alec Burks,DET,"$10,489,600",,"$10,489,600",burksal01
Chet Holmgren,OKC,"$10,386,000","$10,880,640","$10,386,000",holmgch01
Larry Nance Jr.,NOP,"$10,375,000","$11,205,000","$21,580,000",nancela02
Landry Shamet,WAS,"$10,250,000","$11,000,000","$33,000,000",shamela01
Al Horford,BOS,"$10,000,000","$9,500,000","$19,500,000",horfoal01
Malik Monk,SAC,"$9,945,830",,"$9,945,830",monkma01
Tre Jones,SAS,"$9,895,833","$9,104,167","$19,000,000",jonestr01
Jalen Green,HOU,"$9,891,480","$12,483,048","$9,891,480",greenja05
Patrick Williams,CHI,"$9,835,881",,"$9,835,881",willipa01
Monte Morris,DET,"$9,800,926",,"$9,800,926",morrimo01
Scoot Henderson,POR,"$9,770,880","$10,259,160","$20,030,040",hendesc01
Nic Claxton,BRK,"$9,625,000",,"$9,625,000",claxtni01
Jeff Green,HOU,"$9,600,000","$9,600,000","$19,200,000",greenje02
Royce O'Neale,BRK,"$9,500,000",,"$2,500,000",onealro01
Alex Caruso,CHI,"$9,460,000","$9,890,000","$19,350,000",carusal01
Victor Oladipo,OKC,"$9,450,000",,"$9,450,000",oladivi01
Pat Connaughton,MIL,"$9,423,869","$9,423,869","$28,271,607",connapa01
