Player,Tm,salary_23_24,salary_24_25,Guaranteed,other_player_name
Cam Thomas,BRK,"$2,240,160","$4,041,249",,thomaca02
Vlatko Čančar,DEN,"$2,234,359","$2,346,606","$2,234,359",cancavl01
Jaden Springer,PHI,"$2,226,240","$4,018,363","$2,226,240",sprinja01
Day'Ron Sharpe,BRK,"$2,210,040","$3,989,122",,sharpda01
Santi Aldama,MEM,"$2,194,200","$3,960,531","$2,194,200",aldamsa01
Jaxson Hayes,LAL,"$2,165,000","$2,463,946","$2,165,000",hayesja02
Cam Reddish,LAL,"$2,165,000","$2,463,946","$2,165,000",reddica01
Oshae Brissett,BOS,"$2,165,000","$2,463,946","$2,165,000",brissos01
Andrew Nembhard,IND,"$2,131,905","$2,019,699","$4,151,604",nembhan01
Goga Bitadze,ORL,"$2,066,585",,"$2,066,585",bitadgo01
Luka Šamanić,UTA,"$2,066,585",,,samanlu01
Isaiah Roby,NYK,"$2,066,585",,,robyis01
DaQuan Jeffries,NYK,"$2,066,585",,,jeffrda01
Dalano Banton,BOS,"$2,019,706","$2,196,970","$4,216,676",bantoda01
Colby Jones,SAC,"$2,019,706","$2,120,693","$4,140,399",jonesco02
Jeff Dowtin,TOR,"$2,019,706",,"$2,019,706",dowtije01
Alex Len,SAC,"$2,019,706",,"$2,019,706",lenal01
Bol Bol,PHO,"$2,019,706",,"$2,019,706",bolbo01
Chimezie Metu,PHO,"$2,019,706",,"$2,019,706",metuch01
Montrezl Harrell,PHI,"$2,019,706",,"$2,019,706",harremo01
Patrick Beverley,PHI,"$2,019,706",,"$2,019,706",beverpa01
Mo Bamba,PHI,"$2,019,706",,"$2,019,706",bambamo01
Cody Zeller,NOP,"$2,019,706",,"$2,019,706",zelleco01
Jae Crowder,MIL,"$2,019,706",,"$2,019,706",crowdja01
Malik Beasley,MIL,"$2,019,706",,"$2,019,706",beaslma01
Robin Lopez,MIL,"$2,019,706",,"$2,019,706",lopezro01
Dario Šarić,GSW,"$2,019,706",,"$2,019,706",saricda01
Cory Joseph,GSW,"$2,019,706",,"$2,019,706",josepco01
DeAndre Jordan,DEN,"$2,019,706",,"$2,019,706",jordade01
Justin Holiday,DEN,"$2,019,706",,"$2,019,706",holidju01
Darius Bazley,BRK,"$2,019,706",,"$2,019,706",bazleda01
Lonnie Walker IV,BRK,"$2,019,706",,"$2,019,706",walkelo01
Dennis Smith Jr.,BRK,"$2,019,706",,"$2,019,706",smithde03
Wesley Matthews,ATL,"$2,019,706",,"$2,019,706",matthwe02
Aaron Holiday,HOU,"$2,019,706",,,holidaa01
Caleb Houstan,ORL,"$2,000,000","$2,019,699","$2,000,000",houstca01
Jaylin Williams,OKC,"$2,000,000","$2,019,699","$2,000,000",willija07
Garrison Mathews,ATL,"$2,000,000","$2,230,253",,mathega01
Anthony Gill,WAS,"$1,997,238",,"$1,997,238",gillan01
Isaiah Joe,OKC,"$1,997,238","$2,164,993",,joeis01
Sam Merrill,CLE,"$1,997,238","$2,164,993",,merrisa01
Naji Marshall,NOP,"$1,930,681",,"$1,930,681",marshna01
Xavier Tillman Sr.,MEM,"$1,930,681",,"$1,930,681",tillmxa01
Kenyon Martin Jr.,LAC,"$1,930,681",,"$1,930,681",martike04
Sam Hauser,BOS,"$1,927,896","$2,092,344","$4,020,240",hausesa01
Kessler Edwards,SAC,"$1,927,896",,"$1,927,896",edwarke02
Ish Wainright,PHO,"$1,927,896",,"$1,927,896",wainris01
Jericho Sims,NYK,"$1,927,896","$2,092,344","$600,000",simsje01
Jordan Goodwin,PHO,"$1,927,896","$2,092,344",,goodwjo01
Carlik Jones,CHI,"$1,927,896","$2,092,344",,jonesca03
Haywood Highsmith,MIA,"$1,902,137",,,highsha01
A.J. Green,MIL,"$1,901,769","$2,120,693","$1,901,769",greenaj01
Jeremiah Robinson-Earl,OKC,"$1,900,000","$1,988,598",,robinje02
Trendon Watford,POR,"$1,836,096","$1,988,598","$3,824,694",watfotr01
Miles McBride,NYK,"$1,836,096",,"$1,836,096",mcbrimi01
Isaiah Todd,MEM,"$1,836,096","$1,988,598","$1,836,096",toddis01
Brandon Boston Jr.,LAC,"$1,836,096",,"$1,836,096",bostobr01
Isaiah Livers,DET,"$1,836,096",,"$1,836,096",liveris01
Aaron Wiggins,OKC,"$1,836,096","$1,988,598",,wiggiaa01
Jose Alvarado,NOP,"$1,836,096","$1,988,598",,alvarjo01
Jason Preston,LAC,"$1,836,096",,,prestja01
JT Thor,CHO,"$1,836,096","$1,988,598",,thorjt01
Jack White,OKC,"$1,801,769","$2,120,693","$3,922,462",whiteja03
E.J. Liddell,NOP,"$1,801,769","$2,120,693","$3,922,462",liddeej01
Orlando Robinson,MIA,"$1,801,769","$2,120,693","$1,801,769",robinor01
Kennedy Chandler,MEM,"$1,719,864","$2,019,699","$3,739,563",chandke01
Jaden Hardy,DAL,"$1,719,864","$2,019,699","$2,119,864",hardyja02
Xavier Cooks,WAS,"$1,719,864","$2,019,699","$1,719,864",cooksxa01
Ryan Rollins,WAS,"$1,719,864","$2,019,699","$1,719,864",rolliry01
Christian Koloko,TOR,"$1,719,864","$2,019,699","$1,719,864",kolokch01
Josh Minott,MIN,"$1,719,864","$2,019,699","$1,719,864",minotjo01
Kenneth Lofton Jr.,MEM,"$1,719,864","$2,019,699","$1,719,864",loftoke01
Max Christie,LAL,"$1,719,864",,"$1,719,864",chrisma02
Bryce McGowens,CHO,"$1,719,864","$2,019,699","$1,719,864",mcgowbr01
Jabari Walker,POR,"$1,719,864","$2,019,699","$400,000",walkeja01
Julian Phillips,CHI,"$1,600,000","$1,891,857","$5,713,534",phillju01
Eric Bledsoe,POR,"$1,300,000","$1,300,000","$2,600,000",bledser01
Jordan Walsh,BOS,"$1,119,563","$1,891,857","$3,211,420",walshjo01
Rayan Rupert,POR,"$1,119,563","$1,891,857","$3,011,420",ruperra01
Mouhamed Gueye,ATL,"$1,119,563","$1,891,857","$3,011,420",gueyemo02
Nik Stauskas,IND,"$702,311","$702,310","$1,404,621",stausni01
Juwan Morgan,IND,"$576,230","$576,229","$1,152,459",morgaju01
Malik Fitts,IND,"$555,217","$555,216","$1,110,433",fittsma01
Lamar Stevens,SAS,"$400,000",,"$400,000",stevela01
Nerlens Noel,SAC,"$300,000",,"$300,000",noelne01
Didi Louzada,POR,"$268,032","$268,032","$1,608,192",louzama01
Neemias Queta,SAC,"$250,000",,"$250,000",quetane01
Demetrius Jackson,BOS,"$92,857",,"$92,857",jacksde01
