player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2023,2328,1140,-2.444217405435509,.6088941808947947,-1.835323224540714,1.581594960586316,-3.751938087566547,-2.170343126980232,-1.773139050641461,-.2802121701805225,-2.053351220821984,.4013534522427495,.4013534522427495,0,-1.87213890676896,-.1789042568082951,-2.051043163577255,-.9558017958717817
Steven Adams,adamsst01,2023,2391,1133,-.5389838024376277,4.173716641528679,3.634732839091051,4.196127048442823,.1848412405025537,4.380968288945376,.4164178907501262,3.550073155167581,3.966491045917707,3.891658893983829,3.891658893983829,0,.0252794881870106,3.568694619918882,3.593974108105892,.2377929315681521
Bam Adebayo,adebaba01,2023,6843,3403,-1.876488056450411,2.404464149566103,.5279760931156928,1.697954709895055,2.370422191919705,4.068376901814759,-1.232425567087518,2.527241779656453,1.294816212568935,7.0231980736356,5.691805825611843,1.331392248023756,-.7292407074958169,2.499299502310892,1.770058794815075,-.4557326235688725
Ochai Agbaji,agbajoc01,2023,2604,1209,-1.325230245113028,-2.196712066545514,-3.521942311658542,.6372036542490129,-.5675264220646572,.0696772321843557,-1.011909275281453,-1.96312793392252,-2.975037209203972,-.1391075203422943,-.1391075203422943,0,-1.148824067168333,-2.503937418909372,-3.652761486077705,.2162602365327605
Santi Aldama,aldamsa01,2023,3824,1783,-1.024735521066902,-.4057551093367171,-1.430490630403619,-.1722388318611578,-1.335606429029534,-1.507845260890692,-.9094582757093196,-.6737346175148965,-1.583192893224216,1.058105337865689,1.158811826201878,-.1007064883361883,-1.245640639343311,-.1657345025776657,-1.411375141920977,-.0357944383464265
Nickeil Alexander-Walker,alexani01,2023,2185,1032,-.0727731397170141,4.105482240535903,4.032709100818889,-1.222948467371153,2.281127303041485,1.058178835670333,-.3170111607995074,3.994978298425782,3.677967137626275,3.476913646259625,2.41693931060491,1.059974335654715,-.1202530556735853,3.375193427411076,3.25494037173749,.4398062706604728
Grayson Allen,allengr01,2023,4534,2121,-.0512092195358413,.2450877991431332,.1938785796072919,.5180074561194795,-.5041754805200546,.0138319755994249,.0645243910492975,.0575372867008626,.1220616777501601,3.127177944341969,2.880028402289185,.2471495420527841,.2574090880146218,-.0194237832154492,.2379853047991726,.38175016436417
Jarrett Allen,allenja01,2023,4833,2411,-1.337475100795334,1.631138573620335,.2936634728250011,3.300412915915929,1.666223144354086,4.966636060270015,-.4584955462881787,1.673756379123982,1.215260832835803,4.857183664709221,4.529631548448082,.3275521162611388,-.351002248828347,2.273879427023427,1.92287717819508,-.5729737379422805
Jose Alvarado,alvarjo01,2023,2778,1310,.0381949405143691,1.397630126907341,1.435825067421711,-.6782699461524498,3.381491840358701,2.703221894206251,-.1046903148768164,1.867124288000837,1.762433973124021,3.025573548704317,3.025573548704317,0,-.4289299696806673,1.928751505087487,1.49982153540682,.3224244785552178
Kyle Anderson,anderky01,2023,4359,2061,-.0755401191219238,1.256614596151141,1.181074477029217,1.532612264155186,.418828219535111,1.951440483690298,.2707525161471411,1.149299853372586,1.420052369519727,4.358559602489031,4.396497926035435,-.0379383235464044,-.4195145112291136,1.310514906049053,.8910003948199394,-.2992475966487452
Giannis Antetokounmpo,antetgi01,2023,4574,2115,3.377943318509037,1.930202102994922,5.308145421503958,2.647746458512029,1.83492182352303,4.48266828203506,3.402221444699058,1.980316156503777,5.382537601202834,8.925736271577531,9.312383822675635,-.3866475510981047,3.449262451649296,1.228155806318022,4.677418257967318,1.631940834893062
Thanasis Antetokounmpo,antetth01,2023,460,211,-5.629282217835855,-3.925464193387419,-9.554746411223274,-9.56299905025822,-8.889429111962583,-18.45242816222081,-6.77681043984521,-5.233488982348161,-12.01029942219337,-.991040745610055,-.9458469406200309,-.045193804990024,-5.485030616891252,-5.543857796255415,-11.02888841314667,-.689111966414265
Cole Anthony,anthoco01,2023,3230,1552,1.921879277844083,-.5952012816286059,1.326677996215477,1.709422579809259,.2264130057649463,1.935835585574206,2.036654160585278,-.4605973361027997,1.576056824482479,3.398787952683369,3.398787952683369,0,1.469054127881505,-.3929514174052515,1.076102710476254,-.7871791443045657
