Player,Tm,salary_22_23,Guaranteed,-9999
Jayson Tatum,BOS,"$30,351,780","$97,800,180",tatumja01
Gordon Hayward,CHO,"$30,075,000","$61,575,000",haywago01
Jaren Jackson Jr.,MEM,"$28,946,605","$104,720,000",jacksja02
Kevin Love,CLE,"$32,056,968","$28,942,830",loveke01
Jaylen Brown,BOS,"$28,741,071","$59,464,286",brownja02
Chris Paul,PHO,"$28,400,000","$44,200,000",paulch01
Kyle Lowry,MIA,"$28,333,334","$58,015,874",lowryky01
Jalen Brunson,NYK,"$27,733,332","$79,039,999",brunsja01
Kemba Walker,OKC,"$37,281,261","$27,431,078",walkeke02
DeMar DeRozan,CHI,"$27,300,000","$55,900,000",derozde01
Al Horford,BOS,"$26,500,000","$46,000,000",horfoal01
Draymond Green,GSW,"$25,806,468","$25,806,468",greendr01
Julius Randle,NYK,"$23,760,000","$76,982,400",randlju01
John Collins,ATL,"$23,500,000","$102,000,000",collijo01
Mike Conley,MIN,"$22,680,000","$37,000,000",conlemi01
Malcolm Brogdon,BOS,"$22,600,000","$67,600,000",brogdma01
Anfernee Simons,POR,"$22,321,429","$100,000,000",simonan01
Nikola Vučević,CHI,"$22,000,000","$22,000,000",vucevni01
Terry Rozier,CHO,"$21,486,316","$96,258,694",roziete01
Fred VanVleet,TOR,"$21,250,000","$21,250,000",vanvlfr01
Buddy Hield,IND,"$21,177,750","$40,457,591",hieldbu01
Jerami Grant,POR,"$20,955,000","$20,955,000",grantje01
Mikal Bridges,BRK,"$20,100,000","$90,000,000",bridgmi01
Jarrett Allen,CLE,"$20,000,000","$80,000,000",allenja01
Aaron Gordon,DEN,"$19,690,909","$63,798,546",gordoaa01
Tim Hardaway Jr.,DAL,"$19,602,273","$53,693,184",hardati02
Eric Gordon,LAC,"$19,568,360","$19,568,360",gordoer01
Bojan Bogdanović,DET,"$19,550,000","$39,550,000",bogdabo02
Lonzo Ball,CHI,"$19,534,884","$40,000,001",balllo01
Spencer Dinwiddie,BRK,"$19,500,000","$38,357,143",dinwisp01
Caris LeVert,CLE,"$18,796,296","$18,796,296",leverca01
Clint Capela,ATL,"$18,706,896","$61,588,176",capelca01
Joe Harris,BRK,"$18,642,857","$38,571,428",harrijo01
Domantas Sabonis,SAC,"$18,500,000","$37,900,000",sabondo01
Harrison Barnes,SAC,"$18,352,273","$18,352,273",barneha02
Evan Fournier,NYK,"$18,000,000","$55,857,143",fournev01
Bogdan Bogdanović,ATL,"$18,000,000","$36,000,000",bogdabo01
Steven Adams,MEM,"$17,926,829","$43,126,829",adamsst01
Gary Trent Jr.,TOR,"$17,505,000","$17,505,000",trentga02
Jonathan Isaac,ORL,"$17,400,000","$24,800,000",isaacjo01
OG Anunoby,TOR,"$17,357,143","$36,000,000",anunoog01
Marcus Smart,BOS,"$17,207,142","$77,087,994",smartma01
Mitchell Robinson,NYK,"$17,045,454","$60,000,000",robinmi01
Duncan Robinson,MIA,"$16,902,000","$64,350,000",robindu01
Derrick White,BOS,"$16,892,857","$54,321,429",whitede01
Norman Powell,LAC,"$16,758,621","$74,482,758",powelno01
Dejounte Murray,ATL,"$16,571,120","$34,285,120",murrade01
Collin Sexton,UTA,"$16,500,000","$70,950,000",sextoco01
Markelle Fultz,ORL,"$16,500,000","$18,500,000",fultzma01
Lauri Markkanen,UTA,"$16,475,454","$39,735,453",markkla01
Marcus Morris,LAC,"$16,372,093","$33,488,372",morrima03
Dāvis Bertāns,DAL,"$16,000,000","$44,000,000",bertada01
Jusuf Nurkić,POR,"$15,625,000","$70,000,000",nurkiju01
Malik Beasley,LAL,"$15,558,035","$15,558,035",beaslma01
Luguentz Dort,OKC,"$15,277,778","$64,777,778",dortlu01
Tyus Jones,MEM,"$15,000,000","$29,000,000",jonesty01
Jonas Valančiūnas,NOP,"$14,700,000","$30,135,000",valanjo01
Derrick Rose,NYK,"$14,520,730","$14,520,730",rosede01
Kevin Huerter,SAC,"$14,508,929","$65,000,000",huertke01
Luke Kennard,MEM,"$14,415,545","$29,833,908",kennalu01
Will Barton,WAS,"$14,807,642","$14,375,000",bartowi01
Christian Wood,DAL,"$14,317,459","$14,317,459",woodch01
Wendell Carter Jr.,ORL,"$14,150,000","$50,000,000",cartewe01
Kentavious Caldwell-Pope,DEN,"$14,004,703","$28,709,641",caldwke01
Brook Lopez,MIL,"$13,906,976","$13,906,976",lopezbr01
Doug McDermott,SAS,"$13,750,000","$27,500,000",mcderdo01
Zion Williamson,NOP,"$13,534,817","$207,834,817",willizi01
Jordan Clarkson,UTA,"$13,340,000","$13,340,000",clarkjo01
Kyle Kuzma,WAS,"$13,000,000","$13,000,000",kuzmaky01
Danilo Gallinari,SAS,"$19,479,000","$13,000,000",gallida01
Patrick Beverley,ORL,"$13,506,508","$13,000,000",beverpa01
Gary Harris,ORL,"$13,000,000","$13,000,000",harriga01
Josh Hart,NYK,"$12,960,000","$12,960,000",hartjo01
Dorian Finney-Smith,BRK,"$12,939,848","$41,796,023",finnedo01
Kelly Olynyk,UTA,"$12,804,878","$15,804,878",olynyke01
Chris Boucher,TOR,"$12,690,000","$35,250,000",bouchch01
Kelly Oubre Jr.,CHO,"$12,600,000","$12,600,000",oubreke01
Marvin Bagley III,DET,"$12,500,000","$37,500,000",baglema01
Robert Covington,LAC,"$12,307,692","$24,000,000",covinro01
Josh Richardson,NOP,"$12,196,094","$12,196,094",richajo01
Ja Morant,MEM,"$12,119,440","$206,419,440",moranja01
Devonte' Graham,SAS,"$11,550,000","$26,500,000",grahade01
Terrence Ross,ORL,"$12,080,373","$11,500,000",rosste01
Dillon Brooks,MEM,"$11,400,000","$11,400,000",brookdi01
Richaun Holmes,SAC,"$11,215,260","$23,261,280",holmeri01
Reggie Jackson,CHO,"$11,795,633","$11,215,260",jacksre01
Dwight Powell,DAL,"$11,080,125","$11,080,125",poweldw01
Paolo Banchero,ORL,"$11,055,120","$22,663,200",banchpa01
Robert Williams,BOS,"$10,937,502","$49,000,002",williro04
RJ Barrett,NYK,"$10,900,635","$117,900,635",barrerj01
Bobby Portis,MIL,"$10,843,350","$35,132,454",portibo01
Nicolas Batum,LAC,"$19,700,319","$22,554,168",batumni01
Anthony Edwards,MIN,"$10,733,400","$24,268,217",edwaran01
Cade Cunningham,DET,"$10,552,800","$21,608,160",cunnica01
P.J. Tucker,PHI,"$10,490,000","$21,504,500",tuckepj01
Mo Bamba,LAL,"$10,300,000","$10,300,000",bambamo01
Talen Horton-Tucker,UTA,"$10,260,000","$10,260,000",hortota01
Jae Crowder,MIL,"$10,183,800","$10,183,800",crowdja01
Derrick Favors,HOU,"$10,183,800","$10,183,800",favorde01
Ivica Zubac,LAC,"$10,123,457","$32,800,000",zubaciv01
Reggie Bullock,DAL,"$10,012,800","$15,464,000",bullore01
Alec Burks,DET,"$10,012,800","$10,012,800",burksal01
Chet Holmgren,OKC,"$9,891,240","$20,277,240",holmgch01
De'Andre Hunter,ATL,"$9,835,881","$99,835,881",huntede01
Danny Green,HOU,"$11,710,528","$9,710,528",greenda02
Larry Nance Jr.,NOP,"$9,672,727","$31,252,727",nancela02
James Wiseman,DET,"$9,603,360","$9,603,360",wisemja01
Landry Shamet,PHO,"$9,500,000","$42,500,000",shamela01
Malik Monk,SAC,"$9,472,219","$19,418,049",monkma01
Jalen Green,HOU,"$9,441,840","$19,333,320",greenja05
Jakob Poeltl,TOR,"$9,398,148","$9,398,148",poeltja01
Dario Šarić,OKC,"$9,240,000","$9,240,000",saricda01
Nerlens Noel,DET,"$9,240,000","$9,240,000",noelne01
Royce O'Neale,BRK,"$9,200,000","$11,700,000",onealro01
Kemba Walker,DET,"$37,281,261","$9,165,471",walkeke02
Monte Morris,WAS,"$9,125,000","$18,925,926",morrimo01
Mason Plumlee,LAC,"$9,080,417","$9,080,417",plumlma01
Alex Caruso,CHI,"$9,030,000","$28,380,000",carusal01
Maxi Kleber,DAL,"$9,000,000","$42,000,000",klebima01
Darius Garland,CLE,"$8,920,795","$203,220,795",garlada01
Jabari Smith Jr.,HOU,"$8,882,640","$18,209,160",smithja05
Nicolas Batum,CHO,"$19,700,319","$8,856,969",batumni01
Kyle Anderson,MIN,"$8,780,488","$18,000,000",anderky01
Victor Oladipo,MIA,"$8,750,000","$8,750,000",oladivi01
Daniel Theis,IND,"$8,694,369","$17,802,756",theisda01
LaMelo Ball,CHO,"$8,623,920","$19,524,555",ballla01
Nic Claxton,BRK,"$8,500,000","$17,250,000",claxtni01
Grayson Allen,MIL,"$8,500,000","$17,000,000",allengr01
Seth Curry,BRK,"$8,496,653","$8,496,653",curryse01
Evan Mobley,CLE,"$8,478,720","$17,361,360",mobleev01
Gary Payton II,GSW,"$8,300,000","$17,015,000",paytoga02
De'Anthony Melton,PHI,"$8,250,000","$9,750,000",meltode01
JaMychal Green,OKC,"$10,036,090","$8,200,000",greenja01
T.J. McConnell,IND,"$8,100,000","$21,800,000",mccontj01
Keegan Murray,SAC,"$8,008,440","$16,417,440",murrake02
Kevon Looney,GSW,"$8,000,000","$25,500,000",looneke01
Thaddeus Young,TOR,"$8,000,000","$9,000,000",youngth01
DeAndre Jordan,DET,"$9,663,997","$7,827,907",jordade01
Isaiah Hartenstein,NYK,"$7,804,879","$16,000,000",harteis01
Delon Wright,WAS,"$7,804,878","$16,000,000",wrighde01
Patrick Williams,CHI,"$7,775,400","$17,611,281",willipa01
Scottie Barnes,TOR,"$7,644,600","$15,653,280",barnesc01
Cedi Osman,CLE,"$7,426,088","$7,426,088",osmande01
Coby White,CHI,"$7,413,955","$7,413,955",whiteco01
