player_name,player_id,poss,mp,raptor_total
Coby White,whiteco01,3640,1730,1.305119584
Bam Adebayo,adebaba01,6843,3403,1.294816213
Kevin Porter Jr.,porteke02,4208,2024,1.26789969
Malcolm Brogdon,brogdma01,4593,2218,1.250330544
LaMelo Ball,ballla01,2757,1268,1.240463771
Jarrett Allen,allenja01,4833,2411,1.215260833
De'Anthony Melton,meltode01,4918,2424,1.208059248
Bradley Beal,bealbr01,3414,1673,1.19449708
Kyle Lowry,lowryky01,4592,2283,1.165501976
Zach LaVine,lavinza01,5749,2768,1.164034386
Jared Butler,butleja02,165,77,1.130585261
Anfernee Simons,simonan01,4488,2171,1.106853831
Lindy Waters III,waterli01,1143,531,1.100821243
Derrick Jones Jr.,jonesde02,1888,893,1.080995115
Aaron Holiday,holidaa01,1826,849,1.080295975
Montrezl Harrell,harremo01,1451,688,1.079912584
Andre Drummond,drumman01,1799,849,1.053172331
Harrison Barnes,barneha02,6075,2858,1.019708957
Luka Garza,garzalu01,539,243,0.9828262038
Kevin Love,loveke01,3268,1585,0.9799223137
Anthony Lamb,lamban01,2618,1226,0.9655645375
Jaden Springer,sprinja01,226,106,0.9618115944
Luke Kennard,kennalu01,2975,1422,0.9576282292
Malcolm Hill,hillma01,23,9,0.9535414084
Jusuf Nurkic,nurkiju01,2886,1391,0.9372423283
KZ Okpala,okpalkz01,552,248,0.9266776892
Landry Shamet,shamela01,2085,991,0.9219435707
Andrew Wiggins,wiggian01,3527,1632,0.8848024079
Brandon Ingram,ingrabr01,3168,1538,0.8231330123
Julius Randle,randlju01,6218,3067,0.7703379148
Devon Dotson,dotsode01,108,53,0.7613630949
Jakob Poeltl,poeltja01,3992,1906,0.7600852902
Ricky Rubio,rubiori01,1192,583,0.7554454917
Cedi Osman,osmande01,3332,1641,0.7419920734
Onyeka Okongwu,okongon01,4198,1980,0.7364672913
Dwight Powell,poweldw01,2969,1458,0.6983986417
Kelly Olynyk,olynyke01,4082,1942,0.6974690778
Monte Morris,morrimo01,3518,1695,0.6797379811
Jordan Goodwin,goodwjo01,2345,1106,0.6591432681
Scottie Barnes,barnesc01,5507,2678,0.6412502463
Xavier Tillman,tillmxa01,2915,1363,0.6169894852
Spencer Dinwiddie,dinwisp01,5768,2884,0.6137634246
Kemba Walker,walkeke02,292,144,0.606432521
Pat Connaughton,connapa01,3300,1531,0.5925064104
Pascal Siakam,siakapa01,5424,2652,0.5864116735
Robert Covington,covinro01,1659,791,0.5529181903
Raul Neto,netora01,1035,512,0.5247606306
Rodney McGruder,mcgruro01,1103,524,0.5247583845
