player_name,player_id,poss,mp,raptor_total
Meyers Leonard,leoname01,256,119,-8.145552989
Simone Fontecchio,fontesi01,1675,766,-8.152455944
Daniel Theis,theisda01,232,109,-8.199511494
James Wiseman,wisemja01,1829,867,-8.303788773
Bryn Forbes,forbebr01,580,268,-8.307629151
Vince Williams Jr.,willivi01,224,105,-8.430192041
Richaun Holmes,holmeri01,743,348,-8.441941694
Gorgui Dieng,dienggo01,769,358,-8.651325682
James Johnson,johnsja01,353,162,-9.132783993
Tyrese Martin,martity01,137,66,-9.58091409
Mamadi Diakite,diakima01,352,176,-9.655072605
Neemias Queta,quetane01,70,29,-9.706843148
Johnny Juzang,juzanjo01,508,232,-9.843178574
Mfiondu Kabengele,kabenmf01,71,36,-10.18745675
Michael Foster Jr.,fostemi02,2,1,-10.36663656
Blake Wesley,weslebl01,1460,669,-11.1979968
Thanasis Antetokounmpo,antetth01,460,211,-12.01029942
Marko Simonovic,simonma01,49,20,-12.94014717
Justin Minaya,minayju01,195,89,-13.49517674
Michael Carter-Williams,cartemi01,90,44,-14.0743207
Jordan Hall,halljo02,176,83,-14.94280025
Isaiah Todd,toddis01,134,61,-16.75933163
Frank Jackson,jacksfr01,9,5,-21.42505399
Chance Comanche,comanch01,45,21,-23.61287222
Ryan Rollins,rolliry01,135,62,-23.81762731
Chima Moneke,monekch01,18,8,-28.53666101
Trevor Keels,keelstr01,19,8,-33.18238109
Alondes Williams,willial06,11,5,-47.36689226
