player,team,salary_23_24,salary_23_24_log_zscores,raptor_zscore,darko_zscore,daryl_score,id,statmuse_player_names
Kelly Olynyk,UTA,"$12,195,122",0.36,0.33,0.57,20.91,68,kelly-olynyk
Malik Monk,SAC,"$9,945,830",0.1,0.24,-0.2,20.88,69,malik-monk
Jonathan Kuminga,GSW,"$6,012,840",-0.56,-1.11,-0.23,20.79,70,jonathan-kuminga
Pat Connaughton,MIL,"$9,423,869",0.03,0.28,-0.5,20.59,71,pat-connaughton
Terance Mann,LAC,"$10,576,923",0.18,-0.13,0.3,20.53,72,terance-mann
Kenyon Martin Jr.,LAC,"$1,930,681",-2.04,-1.75,-1.11,20.44,73,shaq
Isaiah Stewart,DET,"$5,266,713",-0.73,-0.88,-0.81,20.25,74,isaiah-stewart
Chris Boucher,TOR,"$11,750,000",0.31,-0.02,0.55,20.23,75,chris-boucher
Andrew Nembhard,IND,"$2,131,905",-1.91,-0.96,-1.86,20.17,76,shaq
Derrick White,BOS,"$18,357,143",0.9,1.96,1.39,20.03,77,derrick-white
Royce O'Neale,BRK,"$9,500,000",0.04,0.02,-0.42,19.79,78,shaq
Torrey Craig,CHI,"$2,528,233",-1.69,-0.67,-2.08,19.53,79,torrey-craig
Nicolas Batum,LAC,"$11,710,818",0.31,-0.03,0.25,19.25,80,nicolas-batum
Keegan Murray,SAC,"$8,409,000",-0.12,-0.54,-0.48,18.73,81,keegan-murray
Ivica Zubac,LAC,"$10,933,333",0.22,-0.18,-0.02,18.71,82,ivica-zubac
Aaron Nesmith,IND,"$5,634,257",-0.64,-1.0,-0.92,18.45,83,shaq
Bobby Portis,MIL,"$11,710,818",0.31,-0.39,0.36,18.4,84,bobby-portis
Shake Milton,MIN,"$5,000,000",-0.8,-0.87,-1.26,18.39,85,shaq
Wendell Carter Jr.,ORL,"$13,050,000",0.45,0.13,0.28,18.32,86,shaq
Bogdan Bogdanovic,ATL,"$18,700,000",0.92,1.12,1.25,17.47,87,bogdan-bogdanovic
Kevin Porter Jr.,HOU,"$15,860,000",0.71,0.58,0.52,17.3,88,shaq
Luke Kennard,MEM,"$14,763,636",0.61,0.44,0.23,17.26,89,luke-kennard
Tim Hardaway Jr.,DAL,"$17,897,728",0.86,1.22,0.49,16.76,90,shaq
Tyus Jones,WAS,"$14,000,000",0.54,0.02,0.19,16.71,91,tyus-jones
Daniel Gafford,WAS,"$12,402,000",0.39,0.03,-0.37,16.65,92,shaq
